P,Dec,Ra,run,field,camcol
0.998615026473999,26.920078706108526,128.805263533819,003644,0128,3
0.9999995231628418,27.22168955379601,130.0946375922453,003644,0135,2
0.9999990463256836,27.86983805390616,130.80599502002144,003635,0137,3
0.9997736215591432,27.666681779842,137.70260234214322,004508,0172,4
0.997008204460144,27.735071786056164,137.850506429945,004508,0172,4
0.9999997615814208,28.097683607400768,138.5582516751701,004508,0177,4
0.9999992847442628,26.02650897130508,143.52186287299207,005038,0119,5
0.999977171421051,27.042305867373145,144.29608099405937,004569,0218,1
0.9999940395355223,27.280579799057097,149.13856722469654,004632,0059,3
0.9998685121536256,25.93908323621332,149.38380029277633,005071,0236,5
0.9999954104423524,27.76258215319193,152.41292500735804,004632,0078,2
0.9999975562095642,26.90101328488344,155.4381514331304,005071,0273,4
0.9999992847442628,27.38924793336224,157.54010734255058,005071,0286,4
0.9999600648880004,27.96623583420164,159.46986774605327,005061,0300,5
0.9999637603759766,26.08548800357532,162.36571231562598,005112,0346,4
0.9999998807907104,27.38711402379134,163.0765106543526,005061,0320,2
0.9999990463256836,26.473377894422725,163.24806898105172,005112,0352,5
0.9999977350234984,27.49300148598748,212.9917302685992,004649,0190,5
0.9999760389328004,26.993146981842024,213.3954554988277,004649,0193,4
0.9999511241912842,27.90462197557576,216.76197077451533,004588,0073,2
0.9563027620315552,27.95994648538402,216.76798752295025,004588,0073,2
1.0,27.12752610727206,217.15452056645424,004649,0215,6
0.9999843835830688,28.036919009828136,219.446761283758,004588,0088,4
0.9999985694885254,25.82473575253719,226.99079632404784,004628,0083,5
0.9999990463256836,26.829913337182354,227.8453686561396,004576,0698,3
0.9999995827674866,26.54167943459152,231.86179970509752,004576,0720,6
1.0,26.02473986702061,234.79748699311935,004010,0144,3
0.9999976754188538,26.784090942351693,240.435572867028,003927,0090,2
0.9999998211860656,25.955643526160078,241.67270001473335,003919,0252,2
0.9999800324440002,27.6746533115081,243.0938594264598,003997,0056,3
0.9890254735946656,25.846433168627904,245.8190969938445,003997,0076,3
0.9996047019958496,25.80055345509845,248.1021329119654,003926,0157,3
0.9940629005432128,25.826217174130186,119.43693298465868,002961,0030,3
0.9999852776527404,25.523631828891485,120.39840807395196,003530,0022,4
0.9999995231628418,24.23546421414923,120.62385791852226,003605,0079,5
0.9999998807907104,24.639736835597688,123.00118265743832,003560,0097,3
0.9999998807907104,24.57189122475915,128.29756192112708,004469,0118,3
0.9999852180480956,25.38675334109918,129.34236231553857,003900,0052,4
0.9654815196990968,25.35118531169443,136.48483135792964,004576,0163,5
1.0,25.17220655248503,136.87953601408478,004576,0165,4
0.9999770522117616,24.07933046410782,141.4131792186603,005038,0103,2
0.9999706745147704,24.060168656957288,142.22434253063582,005045,0207,1
0.9999522566795348,25.04937813386738,142.25001590531974,004632,0015,3
0.9999924898147584,24.592044117917546,151.1817041798206,005071,0244,1
1.0,24.074569084452413,158.60775292365585,005112,0321,1
0.9999998807907104,25.189935097951025,158.84600533993464,005087,0059,4
0.999994933605194,25.17632662606156,164.59228979323993,005087,0093,2
0.9999987483024596,23.83541207301878,165.16083324964544,005137,0341,4
0.9999921917915344,25.55573708018445,165.38150801606952,005112,0364,2
0.9997064471244812,24.03365837420674,166.66372800384292,005224,0096,4
0.9982802867889404,23.941175943047845,166.75889844580922,005224,0096,4
0.963679850101471,23.898128664668207,166.8663348983478,005140,0102,3
0.9950217008590698,23.868319131343583,166.82474677657814,005140,0102,3
0.9999971985816956,25.5386508488804,168.81900774633127,005112,0384,1
0.9991772174835204,25.44991268529385,169.34159127099716,005087,0121,1
0.9998432397842408,24.68739151061257,170.7991260412939,005140,0126,4
0.999987781047821,25.58286876326107,171.28245042772517,005140,0130,6
0.9999970197677612,23.91900826439982,171.35015144511732,005140,0129,2
0.9999919533729552,24.51623532652905,173.2122850507244,005140,0141,3
0.9999992847442628,24.587170573133093,173.41396980206505,005224,0137,4
0.9981194138526917,24.7507487386055,175.28663325812107,005224,0149,4
0.9999997615814208,25.70872533735909,177.8462366445327,005224,0164,6
0.9999998211860656,25.696373192744478,179.4097164287894,005116,0068,5
0.9999998807907104,24.89919354508897,179.5233700639129,005116,0069,3
0.9999996423721312,24.23075029889395,180.81258436392375,005224,0182,2
0.9999996423721312,24.44736791592772,182.33218328895063,005116,0086,2
0.9997544288635254,25.128808028933907,182.41046953071853,005224,0192,4
1.0,25.43762966748255,202.23506556004773,005115,0195,1
0.9999533891677856,24.78163371795384,214.7234238031633,004674,0077,5
0.9249485731124878,24.922356068839083,214.71244376614072,004674,0077,5
0.999363660812378,24.705266885651422,215.8413133232725,004674,0084,5
0.9940712451934814,24.676150176128264,215.99361505883112,004674,0084,5
0.9999998807907104,23.99940734784581,219.030488012328,004670,0141,5
0.9999890327453612,24.669418147973094,219.8472699100964,004649,0235,2
0.999996542930603,24.642263573053008,220.015946346004,004649,0236,2
0.9999933242797852,25.71965246308567,220.9409178270404,004646,0174,5
0.9999996423721312,25.68509396517638,221.38702470396385,004646,0177,5
1.0,25.409502036012327,221.79508820335417,004649,0245,5
0.9987524747848512,24.72167904455373,225.8867086361103,004588,0132,1
0.9986352920532228,24.542961276427807,227.63976052607023,004588,0142,2
0.9999938011169434,24.249574481851447,228.4081248682376,004588,0147,2
0.9986310005187988,25.133643550807,239.2410297284732,004002,0207,1
0.9994956851005554,25.41966958595429,240.75151957742776,003900,0697,4
0.9999998807907104,25.66957779733445,244.84849844256365,003992,0161,2
0.999890923500061,23.880978553624345,247.65321319602825,003997,0093,2
0.9735829830169678,23.98807488745596,247.68244950978132,003997,0093,2
0.9999728202819824,10.05633397936439,201.75548407902892,003909,0043,5
1.0,27.70103268976385,247.52425574069036,003723,0161,5
0.9999961853027344,10.492100063032808,146.88067068398783,003538,0195,5
0.999999701976776,9.606136904314637,144.1116528544997,003538,0176,4
0.9999980926513672,11.91601823915408,161.23957946754078,003538,0289,5
0.999999701976776,10.46037224052213,150.86153818245091,003538,0221,4
0.9999822378158568,12.188506671762708,159.01016102671073,003538,0275,6
0.9996544718742372,12.242230285250557,162.9528165142007,003538,0301,5
0.999999701976776,11.99478424044599,160.10542648555287,003538,0282,5
0.999951183795929,8.28642352222035,203.4968778477366,003905,0025,6
0.9989068508148192,10.381925435420849,203.0495678304773,003909,0051,6
0.9747067093849182,10.407914336604822,203.0600362925521,003909,0051,6
0.999999701976776,7.256891567442034,208.2083770162185,003905,0056,4
0.999996304512024,9.252617010939584,208.66727203903227,003909,0088,4
0.9999984502792358,11.553030070417956,218.129857962324,003894,0095,6
0.9999999403953552,9.56018730446752,210.19699881805556,003909,0098,5
0.9999991655349731,9.04917656139651,210.75276301945675,003909,0102,4
0.9999954700469972,11.503828066250277,217.33895399437583,003894,0090,6
0.9611831903457642,11.463342046965534,217.31738162937216,003894,0090,6
0.9996837377548218,10.65802727826634,217.4370358249168,003894,0091,4
0.9999979734420776,10.366094494921242,220.81725352465813,003894,0113,4
0.9999999403953552,9.564581766304885,210.5726507637737,003909,0101,5
1.0,7.092501389196064,210.73741603393356,003905,0073,4
0.999974489212036,8.989416502128474,211.776338605096,003909,0109,4
0.9954187273979188,9.051091254822827,211.7950331592451,003909,0109,4
0.9855873584747314,8.170884525885196,226.19669088968945,003909,0204,5
0.9999995827674866,8.069313842363798,229.3549606682968,003909,0225,6
0.9999992847442628,8.658048263746178,232.68663804397931,003894,0192,4
0.9999997615814208,6.1646173164757165,228.1872718826208,003910,0119,5
0.9999797940254213,6.101666694584476,228.7388985336323,003910,0123,5
0.9999905228614808,6.159439475087303,229.11796622043596,003910,0125,5
0.9998772144317628,5.969127562518611,239.1548713908072,003909,0291,4
0.997267246246338,6.097294319626805,239.0615526622687,003909,0291,4
0.9719572067260742,7.145942739698291,231.2060302445527,003909,0238,4
0.9999950528144836,7.098068989202438,231.276681926346,003909,0238,4
0.9999998211860656,7.262156889152673,233.71712500186788,003909,0254,5
0.999996542930603,27.916893550174,240.04803791408995,003919,0237,4
0.9999898672103882,25.16664282999587,244.29281918321044,003919,0268,4
0.9083948135375975,25.263398789382933,244.32690721357133,003919,0268,4
0.9999428987503052,25.66929615801584,244.84860530548437,003927,0116,5
0.9999942183494568,4.258872650374497,242.9342376436909,003910,0218,4
0.9997771978378296,6.93410915196326,244.88015167266283,003894,0274,5
0.999997615814209,10.986069649103664,215.84064742366215,003894,0080,4
0.9997934699058532,10.043077107888257,226.09354138249043,003894,0148,5
0.9999916553497314,27.204368835021448,241.2280795760352,003919,0245,4
0.9742247462272644,27.09627946308168,241.12611224321037,003919,0245,4
0.9999353885650636,26.1316513304072,243.19908465068087,003927,0107,4
0.9999997615814208,25.56284437672644,244.9146733332711,003927,0117,5
0.9999966025352478,15.218089480322474,0.9294768621531512,001739,0308,4
0.9999938011169434,25.996505405728303,7.0278342412507735,004836,0408,6
0.9999992847442628,24.60361198672444,8.603295201528132,004836,0418,3
0.9999997615814208,23.953923084422883,22.841980194718595,004843,0083,4
0.9999994039535522,13.806176395365938,25.979578915129384,001035,0133,3
0.9999995231628418,14.76394885522025,28.461184975788758,001035,0149,6
0.9999949932098388,14.104268064661738,33.013507814622976,001043,0215,5
0.9999922513961792,29.25976788824677,39.87440458413401,005934,0131,4
0.9999995231628418,16.18299824249025,130.24408360741674,005112,0136,2
0.999999463558197,25.06990601929344,130.71966388062057,004517,0135,5
0.9999999403953552,24.319682976163502,132.7545728787579,004508,0135,2
0.9999913573265076,5.9275558493950165,137.0443365326786,003031,0113,2
0.9999988079071044,4.273065632701744,147.74637844682587,002126,0191,4
0.998413860797882,14.75678148744365,156.1668556421224,005360,0069,2
0.9999657273292542,25.307901650188025,157.93027137589073,005087,0053,5
0.9999998807907104,13.4495908123691,159.05269694800998,004344,0134,3
0.999993860721588,13.720842694989182,159.4688164691593,003631,0286,4
